,cap,dim,rad,width,label,mean_cap,EVD90,PR,P,M,N,layer,seed,features,projection_matrix,model,manifold_type,norm_method,clean_accuracy,adv_accuracy,eps,eps_step,max_iter,random
0,1.1750625313630438,5.208096042448637,0.15113254619258026,0.3449034125362908,7.0,1.2758553707564564,28,19.319910049438477,50,50,784,0.pixels,2,"[[0.1        0.1        0.1        ... 0.1        0.1        0.1       ]
 [0.1        0.1        0.         ... 0.         0.         0.        ]
 [0.1        0.1        0.1        ... 0.         0.1        0.1       ]
 ...
 [0.1        0.1        0.1        ... 0.         0.         0.        ]
 [0.1        0.1        0.1        ... 0.         0.         0.        ]
 [0.         0.         0.1        ... 0.         0.         0.09159847]]",[],convnet4,exemplar,nn,0.9701,0.7292,0.1,0.1,1,False
1,1.3758650204243539,4.658186481197173,0.10207482878847514,0.22030639071338803,2.0,1.2758553707564564,28,19.319910049438477,50,50,784,0.pixels,2,"[[0.  0.  0.  ... 0.  0.  0. ]
 [0.  0.  0.  ... 0.  0.  0. ]
 [0.  0.  0.  ... 0.  0.  0. ]
 ...
 [0.1 0.1 0.1 ... 0.1 0.1 0.1]
 [0.1 0.1 0.1 ... 0.1 0.1 0.1]
 [0.  0.  0.  ... 0.  0.1 0. ]]",,convnet4,exemplar,nn,0.9701,0.7292,0.1,0.1,1,False
2,1.0387738388239511,5.43164501838192,0.21010844831849518,0.4896764353686683,1.0,1.2758553707564564,28,19.319910049438477,50,50,784,0.pixels,2,"[[0.1        0.1        0.1        ... 0.         0.1        0.1       ]
 [0.1        0.         0.1        ... 0.         0.1        0.1       ]
 [0.1        0.         0.1        ... 0.         0.1        0.1       ]
 ...
 [0.         0.0199376  0.         ... 0.         0.03335692 0.1       ]
 [0.06865448 0.         0.         ... 0.         0.05028164 0.1       ]
 [0.07179848 0.         0.08985806 ... 0.06267609 0.06045978 0.        ]]",,convnet4,exemplar,nn,0.9701,0.7292,0.1,0.1,1,False
3,1.5234160333081994,5.02301691818429,0.1009602705858739,0.226273047630425,0.0,1.2758553707564564,28,19.319910049438477,50,50,784,0.pixels,2,"[[0.  0.  0.  ... 0.  0.1 0. ]
 [0.  0.  0.  ... 0.  0.1 0. ]
 [0.  0.  0.1 ... 0.1 0.1 0. ]
 ...
 [0.  0.  0.  ... 0.  0.  0. ]
 [0.  0.  0.  ... 0.  0.  0. ]
 [0.1 0.1 0.1 ... 0.1 0.1 0.1]]",,convnet4,exemplar,nn,0.9701,0.7292,0.1,0.1,1,False
4,1.4013749585075819,4.989256592991494,0.1348184932484509,0.301139267055111,4.0,1.2758553707564564,28,19.319910049438477,50,50,784,0.pixels,2,"[[0.        0.1       0.        ... 0.        0.        0.       ]
 [0.        0.1       0.        ... 0.        0.        0.       ]
 [0.        0.1       0.        ... 0.        0.        0.       ]
 ...
 [0.        0.        0.        ... 0.        0.        0.       ]
 [0.        0.        0.        ... 0.        0.        0.       ]
 [0.        0.        0.        ... 0.        0.        0.0931113]]",,convnet4,exemplar,nn,0.9701,0.7292,0.1,0.1,1,False
5,1.0714020253483796,5.483856458806474,0.18790565996979877,0.44003062273601184,1.0,1.2758553707564564,28,19.319910049438477,50,50,784,0.pixels,2,"[[0.         0.         0.1        ... 0.1        0.1        0.1       ]
 [0.         0.         0.1        ... 0.1        0.         0.1       ]
 [0.         0.         0.1        ... 0.1        0.         0.1       ]
 ...
 [0.         0.1        0.         ... 0.08816232 0.         0.06567135]
 [0.         0.1        0.         ... 0.         0.         0.05261297]
 [0.1        0.         0.         ... 0.06455415 0.         0.        ]]",,convnet4,exemplar,nn,0.9701,0.7292,0.1,0.1,1,False
6,1.2041289463846307,5.10494693951284,0.1276414678540907,0.2883947871463393,4.0,1.2758553707564564,28,19.319910049438477,50,50,784,0.pixels,2,"[[0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.1        0.         0.1        ... 0.         0.1        0.1       ]
 ...
 [0.03393711 0.07332325 0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.03120166]
 [0.09066401 0.07434726 0.03842787 ... 0.08548959 0.         0.        ]]",,convnet4,exemplar,nn,0.9701,0.7292,0.1,0.1,1,False
7,1.3056685194981115,5.102638278341062,0.13324552968541825,0.3009885944629789,9.0,1.2758553707564564,28,19.319910049438477,50,50,784,0.pixels,2,"[[0.  0.  0.1 ... 0.  0.  0. ]
 [0.  0.  0.1 ... 0.1 0.1 0.1]
 [0.1 0.  0.1 ... 0.  0.1 0.1]
 ...
 [0.  0.  0.  ... 0.  0.  0. ]
 [0.  0.  0.  ... 0.  0.  0. ]
 [0.1 0.  0.  ... 0.  0.  0. ]]",,convnet4,exemplar,nn,0.9701,0.7292,0.1,0.1,1,False
8,1.529586347515081,5.131539619954787,0.09400283221798611,0.2129436931378313,5.0,1.2758553707564564,28,19.319910049438477,50,50,784,0.pixels,2,"[[0.         0.1        0.1        ... 0.         0.1        0.1       ]
 [0.         0.1        0.1        ... 0.1        0.1        0.1       ]
 [0.1        0.1        0.1        ... 0.1        0.1        0.1       ]
 ...
 [0.00638617 0.05608068 0.06150804 ... 0.         0.         0.        ]
 [0.08977196 0.08668247 0.         ... 0.01080211 0.         0.        ]
 [0.         0.06449619 0.01377256 ... 0.         0.         0.00784872]]",,convnet4,exemplar,nn,0.9701,0.7292,0.1,0.1,1,False
9,1.24419223680999,5.0996865392230095,0.12379864626129705,0.27956811411449956,9.0,1.2758553707564564,28,19.319910049438477,50,50,784,0.pixels,2,"[[0.1        0.1        0.1        ... 0.1        0.1        0.1       ]
 [0.1        0.1        0.1        ... 0.1        0.         0.1       ]
 [0.1        0.1        0.1        ... 0.         0.1        0.1       ]
 ...
 [0.1        0.1        0.1        ... 0.1        0.1        0.1       ]
 [0.1        0.1        0.1        ... 0.1        0.1        0.1       ]
 [0.         0.09259248 0.02179337 ... 0.         0.02257292 0.        ]]",,convnet4,exemplar,nn,0.9701,0.7292,0.1,0.1,1,False
10,1.4219882795904666,5.028154543641571,0.1064070182397773,0.2386022761112322,0.0,1.2758553707564564,28,19.319910049438477,50,50,784,0.pixels,2,"[[0.1 0.1 0.1 ... 0.1 0.1 0.1]
 [0.1 0.1 0.1 ... 0.1 0.1 0.1]
 [0.1 0.1 0.1 ... 0.1 0.1 0.1]
 ...
 [0.1 0.1 0.1 ... 0.1 0.  0.1]
 [0.1 0.1 0.1 ... 0.1 0.  0.1]
 [0.1 0.1 0.1 ... 0.1 0.1 0.1]]",,convnet4,exemplar,nn,0.9701,0.7292,0.1,0.1,1,False
