,cap,dim,rad,label,mean_cap,EVD90,PR,P,M,N,layer,seed,features,projection_matrix,model,manifold_type,norm_method,clean_accuracy,adv_accuracy,eps,eps_step,max_iter,random
2,1.3127382653876978,4.744334363899316,0.19720076905120607,1.0,1.2670267630680305,2,2.7901199727265986,4,50,2000,2.norm,0,"[[-0.2279799  -0.20529233 -0.27194647 ... -0.29317756 -0.19118575
  -0.23362253]
 [-0.422489   -0.36871054 -0.37024402 ... -0.41110936 -0.41443414
  -0.37449407]
 [ 0.09843164  0.13466554  0.09948811 ...  0.09400578  0.02942264
   0.07521644]
 ...
 [ 0.13126889  0.1734329   0.14757362 ...  0.11703463  0.10978424
   0.17578031]
 [-0.24227529 -0.2630021  -0.28481846 ... -0.26144447 -0.20397528
  -0.21929328]
 [-0.12140832 -0.19943096 -0.17713345 ... -0.18801186 -0.12630443
  -0.17708792]]",,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
3,1.0585742549493322,3.271056298664659,0.20522405983334507,0.0,1.2670267630680305,2,2.7901199727265986,4,50,2000,2.norm,0,"[[-0.05164143 -0.06932134 -0.04867803 ... -0.08105761 -0.10611666
  -0.10613337]
 [ 0.14846723  0.13120857  0.11159183 ...  0.23130604  0.14247885
   0.24709241]
 [ 0.08763816  0.10027851  0.0773511  ...  0.07242605  0.00809194
   0.00649518]
 ...
 [ 0.27735779  0.25079288  0.27518974 ...  0.34257345  0.27673698
   0.33040056]
 [-0.32610609 -0.34705085 -0.36115246 ... -0.36881495 -0.37015089
  -0.44119751]
 [ 0.05751055  0.06045346  0.04962549 ... -0.00390938  0.07847407
   0.06339311]]",,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
0,1.3446753310307566,3.796685919635686,0.1524036950224867,7.0,1.3053925776814077,2,2.824876546859741,4,50,2000,3.relu,0,"[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",[],lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
1,1.446449030003842,3.4336549249430437,0.10117465771661406,2.0,1.3053925776814077,2,2.824876546859741,4,50,2000,3.relu,0,"[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
2,1.397446077905099,4.835605806631451,0.17492734490997328,1.0,1.3053925776814077,2,2.824876546859741,4,50,2000,3.relu,0,"[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
3,1.0945721223226152,2.710980688512262,0.21916648834853,0.0,1.3053925776814077,2,2.824876546859741,4,50,2000,3.relu,0,"[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
0,1.4194063207506717,4.47865110217513,0.1197345415670923,7.0,1.3571194221911136,2,2.6138129234313965,4,50,2000,4.conv2,0,"[[-8.16660613e-05 -8.41284054e-05 -8.13670777e-05 ... -8.13397419e-05
  -8.09778139e-05 -8.18140543e-05]
 [-1.19302349e-04 -1.19592434e-04 -1.18688469e-04 ... -1.21468845e-04
  -1.20610108e-04 -1.24357175e-04]
 [-5.38691493e-05 -5.63921421e-05 -5.37969536e-05 ... -5.98459301e-05
  -5.66833878e-05 -6.33927702e-05]
 ...
 [-4.40444104e-18 -4.43406528e-18 -7.86785826e-18 ... -4.63391873e-18
  -4.16955939e-18 -4.47409420e-18]
 [-5.50735487e-18 -6.32738161e-18 -7.38793221e-18 ... -6.21717592e-18
  -7.03746984e-18 -7.54612554e-18]
 [-8.04826718e-18 -7.76762548e-18 -7.87354761e-18 ... -7.70489210e-18
  -7.85041385e-18 -7.74345361e-18]]",[],lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
1,1.497755818566116,3.476032780364609,0.08562504030932548,2.0,1.3571194221911136,2,2.6138129234313965,4,50,2000,4.conv2,0,"[[-1.60024822e-04 -1.62421260e-04 -1.59215793e-04 ... -1.59575022e-04
  -1.59889751e-04 -1.61169388e-04]
 [-7.72414423e-05 -8.00988928e-05 -7.61770352e-05 ... -7.85102457e-05
  -7.75414956e-05 -7.94593361e-05]
 [-2.71613135e-05 -2.59053777e-05 -2.47913158e-05 ... -2.57774118e-05
  -2.48876004e-05 -2.59834087e-05]
 ...
 [-3.20324137e-17 -3.18314088e-17 -3.26090479e-17 ... -3.31604664e-17
  -3.23512091e-17 -3.26432006e-17]
 [-6.63077161e-18 -6.84864395e-18 -7.39746464e-18 ... -6.91794431e-18
  -6.79985642e-18 -6.44082902e-18]
 [-1.03702161e-17 -1.03756159e-17 -1.03924052e-17 ... -1.01587912e-17
  -1.03406965e-17 -1.04147416e-17]]",,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
2,1.479334886529581,4.373325963463244,0.17137802759740933,1.0,1.3571194221911136,2,2.6138129234313965,4,50,2000,4.conv2,0,"[[-1.59183874e-05 -1.48513318e-05 -1.70077819e-05 ... -1.02453805e-05
  -7.86965029e-06 -8.88984232e-06]
 [-8.98341204e-06 -1.94828135e-05 -2.29860852e-05 ... -6.21732579e-06
  -1.40170550e-05 -2.32557577e-05]
 [-1.41731307e-05 -2.53762228e-05 -2.72149973e-05 ... -1.51497916e-05
  -2.25060121e-05 -2.79569867e-05]
 ...
 [-6.00191706e-18 -4.02699936e-18 -6.57045442e-18 ... -8.20415930e-18
  -2.32290721e-18 -5.28541693e-18]
 [-5.38499335e-18 -6.66898611e-18 -6.51099503e-18 ... -5.23693836e-18
  -4.85346487e-18 -7.91171455e-18]
 [-5.30872688e-18 -2.43407697e-18 -3.32932090e-18 ... -2.06072053e-18
  -6.59909803e-18 -6.22409736e-18]]",,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
3,1.1120323935779335,2.51773756042939,0.18186101807151375,0.0,1.3571194221911136,2,2.6138129234313965,4,50,2000,4.conv2,0,"[[-1.19719225e-05 -1.59243555e-05 -1.26008053e-05 ... -2.46132022e-05
  -3.52919706e-05 -3.49713846e-05]
 [-7.21914112e-05 -7.47390077e-05 -7.14173730e-05 ... -5.87817922e-05
  -7.20118624e-05 -7.75104709e-05]
 [-1.75650435e-04 -1.76614849e-04 -1.76566245e-04 ... -1.58530092e-04
  -1.50368098e-04 -1.59214716e-04]
 ...
 [-1.21532775e-17 -7.51973930e-18 -1.22329656e-17 ... -1.01574198e-17
  -1.31658616e-17 -1.24783281e-17]
 [-5.63224715e-18 -6.86078655e-18 -5.56872092e-18 ... -1.16890166e-17
  -7.95582148e-18 -7.90048888e-18]
 [-8.74889578e-18 -9.20126845e-18 -8.77897041e-18 ... -6.19115324e-18
  -4.67498163e-18 -7.17950089e-18]]",,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
