,cap,dim,rad,mean_cap,center_corr,K,EVD90,PR,P,M,N,layer,seed,model,manifold_type,norm_method,clean_accuracy,adv_accuracy,eps,eps_step,max_iter,random
0,2.2037122559355464,1.0383360564211108e-22,5.014245900704257e-17,2.0179594829590703,0.15489332549426021,12,25,17.374841690063477,50,50,784,0.pixels,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
1,1.845586249558024,7.677224850183735e-25,4.9373061047628507e-17,2.0179594829590703,0.15489332549426021,12,25,17.374841690063477,50,50,784,0.pixels,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
2,1.2252875898934887,1.0372558819376603e-22,5.0132033630331537e-17,2.0179594829590703,0.15489332549426021,12,25,17.374841690063477,50,50,784,0.pixels,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
3,2.1639602075531674,1.9447777674689348e-23,5.487791073707965e-17,2.0179594829590703,0.15489332549426021,12,25,17.374841690063477,50,50,784,0.pixels,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
4,1.5976643267241843,1.0682742623411668e-23,4.938026243094211e-17,2.0179594829590703,0.15489332549426021,12,25,17.374841690063477,50,50,784,0.pixels,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
5,2.2366764273693107,2.442558652106854e-22,5.093994740795761e-17,2.0179594829590703,0.15489332549426021,12,25,17.374841690063477,50,50,784,0.pixels,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
6,1.9732459606963173,6.1318966109435584e-24,6.06005904608274e-17,2.0179594829590703,0.15489332549426021,12,25,17.374841690063477,50,50,784,0.pixels,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
7,3.3487165440909843,6.043292679551906e-23,5.786064921702498e-17,2.0179594829590703,0.15489332549426021,12,25,17.374841690063477,50,50,784,0.pixels,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
8,1.316720251994505,6.05214248797151e-24,5.4719163166188863e-17,2.0179594829590703,0.15489332549426021,12,25,17.374841690063477,50,50,784,0.pixels,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
9,1.9582425899100393,6.106354598114646e-22,4.600265198324991e-17,2.0179594829590703,0.15489332549426021,12,25,17.374841690063477,50,50,784,0.pixels,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
10,2.027066802680235,2.305261493354407e-22,5.635199376105746e-17,2.0179594829590703,0.15489332549426021,12,25,17.374841690063477,50,50,784,0.pixels,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
11,1.9530888951065573,4.118667312682474e-23,5.4532099237286857e-17,2.0179594829590703,0.15489332549426021,12,25,17.374841690063477,50,50,784,0.pixels,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
12,2.2196834825969445,5.836866327723333e-23,4.805711241350468e-17,2.0179594829590703,0.15489332549426021,12,25,17.374841690063477,50,50,784,0.pixels,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
13,4.012838107319205,2.1161325294162912e-23,5.805949126578421e-17,2.0179594829590703,0.15489332549426021,12,25,17.374841690063477,50,50,784,0.pixels,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
14,2.587163968382036,1.163792991708823e-22,4.627704116921375e-17,2.0179594829590703,0.15489332549426021,12,25,17.374841690063477,50,50,784,0.pixels,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
15,1.183837659639674,8.672249544566967e-24,4.9117643904440467e-17,2.0179594829590703,0.15489332549426021,12,25,17.374841690063477,50,50,784,0.pixels,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
16,2.0245921787978896,4.685061571228638e-23,5.798360459075639e-17,2.0179594829590703,0.15489332549426021,12,25,17.374841690063477,50,50,784,0.pixels,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
17,1.5249997183174575,7.665236347350167e-23,5.162937037833766e-17,2.0179594829590703,0.15489332549426021,12,25,17.374841690063477,50,50,784,0.pixels,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
18,1.8844649605062844,6.707241279903695e-23,5.637730413072955e-17,2.0179594829590703,0.15489332549426021,12,25,17.374841690063477,50,50,784,0.pixels,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
19,2.8327629936421084,1.1788918392387617e-22,4.56170358746714e-17,2.0179594829590703,0.15489332549426021,12,25,17.374841690063477,50,50,784,0.pixels,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
20,2.4365502660674325,2.508660504663739e-22,4.8389282364989385e-17,2.0179594829590703,0.15489332549426021,12,25,17.374841690063477,50,50,784,0.pixels,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
21,1.665188455434198,9.868710687048553e-23,5.571696929391566e-17,2.0179594829590703,0.15489332549426021,12,25,17.374841690063477,50,50,784,0.pixels,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
22,2.141560238838555,6.976219352946284e-23,5.100577023697443e-17,2.0179594829590703,0.15489332549426021,12,25,17.374841690063477,50,50,784,0.pixels,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
23,2.6263237179402235,1.8657352660111727e-23,5.536829028436174e-17,2.0179594829590703,0.15489332549426021,12,25,17.374841690063477,50,50,784,0.pixels,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
24,2.2943172978989823,4.2403960163638445e-24,5.156162131345853e-17,2.0179594829590703,0.15489332549426021,12,25,17.374841690063477,50,50,784,0.pixels,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
25,4.124944994123758,4.843440538141879e-25,4.868766557760983e-17,2.0179594829590703,0.15489332549426021,12,25,17.374841690063477,50,50,784,0.pixels,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
26,2.6371982354901906,4.0443720394396604e-22,5.181561960338262e-17,2.0179594829590703,0.15489332549426021,12,25,17.374841690063477,50,50,784,0.pixels,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
27,2.174878638127604,4.771509448186811e-22,4.573102779796788e-17,2.0179594829590703,0.15489332549426021,12,25,17.374841690063477,50,50,784,0.pixels,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
28,2.541358540700465,3.1053147989606683e-23,4.825829905817762e-17,2.0179594829590703,0.15489332549426021,12,25,17.374841690063477,50,50,784,0.pixels,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
29,2.8118730591933367,1.5312309883749329e-22,4.9888259619680255e-17,2.0179594829590703,0.15489332549426021,12,25,17.374841690063477,50,50,784,0.pixels,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
30,2.959157441582181,9.757908459877049e-24,5.189648407778681e-17,2.0179594829590703,0.15489332549426021,12,25,17.374841690063477,50,50,784,0.pixels,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
31,2.4483594763527377,1.5610355073336732e-22,5.714204545193383e-17,2.0179594829590703,0.15489332549426021,12,25,17.374841690063477,50,50,784,0.pixels,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
32,1.4985265262172505,1.0440783362140126e-23,5.3028742300519856e-17,2.0179594829590703,0.15489332549426021,12,25,17.374841690063477,50,50,784,0.pixels,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
33,2.0481223259915504,3.413257424395218e-23,5.0726233623346614e-17,2.0179594829590703,0.15489332549426021,12,25,17.374841690063477,50,50,784,0.pixels,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
34,1.6432008294142282,5.518492782807631e-24,5.0550494230903986e-17,2.0179594829590703,0.15489332549426021,12,25,17.374841690063477,50,50,784,0.pixels,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
35,2.889678467117506,3.4118202637001125e-22,4.787363879637029e-17,2.0179594829590703,0.15489332549426021,12,25,17.374841690063477,50,50,784,0.pixels,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
36,1.8902150324893325,1.3445711481528073e-21,6.223096643417998e-17,2.0179594829590703,0.15489332549426021,12,25,17.374841690063477,50,50,784,0.pixels,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
37,2.2585170805806554,2.664820488891843e-23,5.616971469057866e-17,2.0179594829590703,0.15489332549426021,12,25,17.374841690063477,50,50,784,0.pixels,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
38,1.415150053265741,1.6489961313640232e-23,4.7359090503867627e-17,2.0179594829590703,0.15489332549426021,12,25,17.374841690063477,50,50,784,0.pixels,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
39,2.6787715914411625,2.0069962587520167e-23,5.4273775802760976e-17,2.0179594829590703,0.15489332549426021,12,25,17.374841690063477,50,50,784,0.pixels,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
40,1.9084901435476818,2.1754695267064178e-23,5.071076450971841e-17,2.0179594829590703,0.15489332549426021,12,25,17.374841690063477,50,50,784,0.pixels,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
41,1.6456447697834113,1.6177445155142173e-22,5.417182496445824e-17,2.0179594829590703,0.15489332549426021,12,25,17.374841690063477,50,50,784,0.pixels,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
42,1.864994185646512,5.206294991570129e-26,4.978928842704888e-17,2.0179594829590703,0.15489332549426021,12,25,17.374841690063477,50,50,784,0.pixels,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
43,2.7576260271602546,2.5687966652450916e-23,5.722812726399955e-17,2.0179594829590703,0.15489332549426021,12,25,17.374841690063477,50,50,784,0.pixels,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
44,1.463560556492408,4.473432871494161e-23,5.585156536440138e-17,2.0179594829590703,0.15489332549426021,12,25,17.374841690063477,50,50,784,0.pixels,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
45,1.8622758959354542,2.0273325471800836e-24,4.09488140075078e-17,2.0179594829590703,0.15489332549426021,12,25,17.374841690063477,50,50,784,0.pixels,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
46,1.5637015063463318,3.0221301080381584e-24,6.290839182035224e-17,2.0179594829590703,0.15489332549426021,12,25,17.374841690063477,50,50,784,0.pixels,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
47,2.123687570686031,6.819426473274695e-23,5.838309512158996e-17,2.0179594829590703,0.15489332549426021,12,25,17.374841690063477,50,50,784,0.pixels,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
48,2.0005023695987365,5.856258002610229e-22,4.7077463007434346e-17,2.0179594829590703,0.15489332549426021,12,25,17.374841690063477,50,50,784,0.pixels,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
49,2.0360594310070548,8.649937419214948e-23,5.167962428461352e-17,2.0179594829590703,0.15489332549426021,12,25,17.374841690063477,50,50,784,0.pixels,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
0,2.648854703285364,4.0299774494445685e-23,4.183669080235358e-17,2.0394270884287744,0.16175126994765,16,22,16.75545835929826,50,50,2000,1.conv1,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
1,3.293629239352756,6.89652572526856e-23,4.1648566159175284e-17,2.0394270884287744,0.16175126994765,16,22,16.75545835929826,50,50,2000,1.conv1,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
2,2.5278576504493726,9.06155285645985e-24,5.3753623108796426e-17,2.0394270884287744,0.16175126994765,16,22,16.75545835929826,50,50,2000,1.conv1,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
3,2.042611720515952,3.2555824138514046e-23,5.603306824147625e-17,2.0394270884287744,0.16175126994765,16,22,16.75545835929826,50,50,2000,1.conv1,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
4,1.8303351293432952,6.5090901791257896e-24,5.171028371476163e-17,2.0394270884287744,0.16175126994765,16,22,16.75545835929826,50,50,2000,1.conv1,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
5,2.326258399632586,2.1782726560087787e-23,4.740139621618323e-17,2.0394270884287744,0.16175126994765,16,22,16.75545835929826,50,50,2000,1.conv1,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
6,2.136499574368151,1.8604324398919656e-22,5.653318072684128e-17,2.0394270884287744,0.16175126994765,16,22,16.75545835929826,50,50,2000,1.conv1,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
7,1.9775884109731197,3.442343915246699e-24,6.25630673221697e-17,2.0394270884287744,0.16175126994765,16,22,16.75545835929826,50,50,2000,1.conv1,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
8,1.594310282919622,2.905143319921666e-22,4.8802769944044456e-17,2.0394270884287744,0.16175126994765,16,22,16.75545835929826,50,50,2000,1.conv1,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
9,2.1961943834097046,2.335784453347075e-22,5.568724060016744e-17,2.0394270884287744,0.16175126994765,16,22,16.75545835929826,50,50,2000,1.conv1,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
10,1.6383329054890012,1.0225854594683975e-22,5.13315334849923e-17,2.0394270884287744,0.16175126994765,16,22,16.75545835929826,50,50,2000,1.conv1,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
11,2.3958279112007905,6.651240515032911e-23,5.442335394656287e-17,2.0394270884287744,0.16175126994765,16,22,16.75545835929826,50,50,2000,1.conv1,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
12,3.727040275596712,2.5493180179747346e-22,5.827857465787128e-17,2.0394270884287744,0.16175126994765,16,22,16.75545835929826,50,50,2000,1.conv1,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
13,1.708001575834158,1.093656152853967e-23,5.080625155480835e-17,2.0394270884287744,0.16175126994765,16,22,16.75545835929826,50,50,2000,1.conv1,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
14,2.3624859785945604,5.54872222972232e-24,5.73952083725803e-17,2.0394270884287744,0.16175126994765,16,22,16.75545835929826,50,50,2000,1.conv1,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
15,2.0372305237108925,1.0637620025499061e-22,4.775850796960074e-17,2.0394270884287744,0.16175126994765,16,22,16.75545835929826,50,50,2000,1.conv1,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
16,2.374523652544767,8.037521529263079e-23,5.551520195472412e-17,2.0394270884287744,0.16175126994765,16,22,16.75545835929826,50,50,2000,1.conv1,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
17,1.79526958820313,6.5885543668741194e-24,5.3028235418351735e-17,2.0394270884287744,0.16175126994765,16,22,16.75545835929826,50,50,2000,1.conv1,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
18,1.7847338011603893,5.122708691419444e-23,4.6106857843678196e-17,2.0394270884287744,0.16175126994765,16,22,16.75545835929826,50,50,2000,1.conv1,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
19,1.547655329586416,1.791475011876307e-23,5.050788711530479e-17,2.0394270884287744,0.16175126994765,16,22,16.75545835929826,50,50,2000,1.conv1,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
20,2.3342491821292817,1.0408930863466231e-22,5.83618552290624e-17,2.0394270884287744,0.16175126994765,16,22,16.75545835929826,50,50,2000,1.conv1,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
21,1.5161363371936079,3.026999115881576e-24,5.321792298390215e-17,2.0394270884287744,0.16175126994765,16,22,16.75545835929826,50,50,2000,1.conv1,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
22,1.462005293502999,3.069143354330843e-22,5.198077392241327e-17,2.0394270884287744,0.16175126994765,16,22,16.75545835929826,50,50,2000,1.conv1,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
23,1.9759307967174533,1.8818274119781839e-25,4.9049015107523e-17,2.0394270884287744,0.16175126994765,16,22,16.75545835929826,50,50,2000,1.conv1,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
24,2.5350164940610207,7.094375736931835e-23,4.892489642760346e-17,2.0394270884287744,0.16175126994765,16,22,16.75545835929826,50,50,2000,1.conv1,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
25,1.4198237052351996,1.0438014075743166e-22,4.904150733013446e-17,2.0394270884287744,0.16175126994765,16,22,16.75545835929826,50,50,2000,1.conv1,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
26,1.8944223552879558,5.080501588841449e-22,5.989728190244101e-17,2.0394270884287744,0.16175126994765,16,22,16.75545835929826,50,50,2000,1.conv1,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
27,1.945185578113165,3.308368023123896e-23,5.201491876306793e-17,2.0394270884287744,0.16175126994765,16,22,16.75545835929826,50,50,2000,1.conv1,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
28,1.4643476874183363,3.09182423174642e-23,4.725850618698338e-17,2.0394270884287744,0.16175126994765,16,22,16.75545835929826,50,50,2000,1.conv1,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
29,1.8339631177987075,8.060799434833671e-23,5.929833370971702e-17,2.0394270884287744,0.16175126994765,16,22,16.75545835929826,50,50,2000,1.conv1,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
30,2.0989559183037483,9.586498801509466e-22,5.1634588295837086e-17,2.0394270884287744,0.16175126994765,16,22,16.75545835929826,50,50,2000,1.conv1,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
31,1.2165982003143843,8.390152499748285e-25,4.056234354966809e-17,2.0394270884287744,0.16175126994765,16,22,16.75545835929826,50,50,2000,1.conv1,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
32,2.0405490627939074,6.086007139466158e-24,5.548110619062464e-17,2.0394270884287744,0.16175126994765,16,22,16.75545835929826,50,50,2000,1.conv1,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
33,1.8650060558064414,1.6682574747887912e-23,5.540677528953303e-17,2.0394270884287744,0.16175126994765,16,22,16.75545835929826,50,50,2000,1.conv1,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
34,3.1974572058402706,4.532493604022652e-22,5.4726617568756244e-17,2.0394270884287744,0.16175126994765,16,22,16.75545835929826,50,50,2000,1.conv1,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
35,2.3500846819619556,8.727983637778742e-23,5.372514127458548e-17,2.0394270884287744,0.16175126994765,16,22,16.75545835929826,50,50,2000,1.conv1,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
36,1.985432631639063,7.677367947928548e-25,4.3085692432631704e-17,2.0394270884287744,0.16175126994765,16,22,16.75545835929826,50,50,2000,1.conv1,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
37,2.142314619299481,4.1775968383692007e-22,5.675731101622923e-17,2.0394270884287744,0.16175126994765,16,22,16.75545835929826,50,50,2000,1.conv1,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
38,1.6615551675762312,4.746082685663243e-23,5.566962585718594e-17,2.0394270884287744,0.16175126994765,16,22,16.75545835929826,50,50,2000,1.conv1,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
39,2.2473478354095326,3.9412789397369806e-22,4.9239526356945163e-17,2.0394270884287744,0.16175126994765,16,22,16.75545835929826,50,50,2000,1.conv1,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
40,2.2289802357790376,9.382067381150033e-26,4.2869878003693036e-17,2.0394270884287744,0.16175126994765,16,22,16.75545835929826,50,50,2000,1.conv1,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
41,2.42779361306862,4.983541552123371e-22,5.0968291052743715e-17,2.0394270884287744,0.16175126994765,16,22,16.75545835929826,50,50,2000,1.conv1,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
42,2.1712076733375487,4.573507914275351e-22,4.8109290261617256e-17,2.0394270884287744,0.16175126994765,16,22,16.75545835929826,50,50,2000,1.conv1,4,MNIST_ConvNet,exemplar,lrnb,0.9795,1.0,0.0,0.0,1,False
