,cap,dim,rad,mean_cap,center_corr,K,EVD90,PR,P,M,N,layer,seed,model,manifold_type,norm_method,clean_accuracy,adv_accuracy,eps,eps_step,max_iter,random
0,1.8709796600308528,4.997311767374299,0.0043228142355045355,2.043393410459704,0.15169432348134565,12,26,17.89388656616211,50,50,784,0.pixels,8,MNIST_ConvNet,exemplar,lrns,0.9678,0.92,0.004,0.004,1,False
1,2.060831365840954,4.9761435918095485,0.004747169441870091,2.043393410459704,0.15169432348134565,12,26,17.89388656616211,50,50,784,0.pixels,8,MNIST_ConvNet,exemplar,lrns,0.9678,0.92,0.004,0.004,1,False
2,1.647827565372758,4.891041008034837,0.0038255689417628796,2.043393410459704,0.15169432348134565,12,26,17.89388656616211,50,50,784,0.pixels,8,MNIST_ConvNet,exemplar,lrns,0.9678,0.92,0.004,0.004,1,False
3,1.4533930951165193,4.820325666423853,0.004055297904755236,2.043393410459704,0.15169432348134565,12,26,17.89388656616211,50,50,784,0.pixels,8,MNIST_ConvNet,exemplar,lrns,0.9678,0.92,0.004,0.004,1,False
4,3.0617441698023176,4.850090598969469,0.005140715042969617,2.043393410459704,0.15169432348134565,12,26,17.89388656616211,50,50,784,0.pixels,8,MNIST_ConvNet,exemplar,lrns,0.9678,0.92,0.004,0.004,1,False
5,1.391877680800823,4.4940464456047,0.0075137178240392765,2.043393410459704,0.15169432348134565,12,26,17.89388656616211,50,50,784,0.pixels,8,MNIST_ConvNet,exemplar,lrns,0.9678,0.92,0.004,0.004,1,False
6,1.554699073793861,5.103330551035934,0.0032678660094402007,2.043393410459704,0.15169432348134565,12,26,17.89388656616211,50,50,784,0.pixels,8,MNIST_ConvNet,exemplar,lrns,0.9678,0.92,0.004,0.004,1,False
7,2.4553853662524574,4.794396359302373,0.006022416251869231,2.043393410459704,0.15169432348134565,12,26,17.89388656616211,50,50,784,0.pixels,8,MNIST_ConvNet,exemplar,lrns,0.9678,0.92,0.004,0.004,1,False
8,2.0977692606576555,4.839942824402004,0.005736647269232638,2.043393410459704,0.15169432348134565,12,26,17.89388656616211,50,50,784,0.pixels,8,MNIST_ConvNet,exemplar,lrns,0.9678,0.92,0.004,0.004,1,False
9,2.0570087052831036,5.063621740712731,0.007444509437213119,2.043393410459704,0.15169432348134565,12,26,17.89388656616211,50,50,784,0.pixels,8,MNIST_ConvNet,exemplar,lrns,0.9678,0.92,0.004,0.004,1,False
10,1.7217492248412851,4.75958292713697,0.005472620542468583,2.043393410459704,0.15169432348134565,12,26,17.89388656616211,50,50,784,0.pixels,8,MNIST_ConvNet,exemplar,lrns,0.9678,0.92,0.004,0.004,1,False
11,1.5552985858334927,4.791801361687174,0.005433850238855262,2.043393410459704,0.15169432348134565,12,26,17.89388656616211,50,50,784,0.pixels,8,MNIST_ConvNet,exemplar,lrns,0.9678,0.92,0.004,0.004,1,False
12,2.248082803006063,4.839744788359166,0.003978704672146221,2.043393410459704,0.15169432348134565,12,26,17.89388656616211,50,50,784,0.pixels,8,MNIST_ConvNet,exemplar,lrns,0.9678,0.92,0.004,0.004,1,False
13,2.4765324799282338,4.873909244986894,0.005117902719348824,2.043393410459704,0.15169432348134565,12,26,17.89388656616211,50,50,784,0.pixels,8,MNIST_ConvNet,exemplar,lrns,0.9678,0.92,0.004,0.004,1,False
14,1.7574546480973916,4.867148044826369,0.004168764541054066,2.043393410459704,0.15169432348134565,12,26,17.89388656616211,50,50,784,0.pixels,8,MNIST_ConvNet,exemplar,lrns,0.9678,0.92,0.004,0.004,1,False
15,1.9953530221172988,4.829012899305087,0.003892227620108583,2.043393410459704,0.15169432348134565,12,26,17.89388656616211,50,50,784,0.pixels,8,MNIST_ConvNet,exemplar,lrns,0.9678,0.92,0.004,0.004,1,False
16,2.237678945335078,5.334869740448238,0.0034350562525473074,2.043393410459704,0.15169432348134565,12,26,17.89388656616211,50,50,784,0.pixels,8,MNIST_ConvNet,exemplar,lrns,0.9678,0.92,0.004,0.004,1,False
17,2.125554955118107,4.857616810277273,0.0060243725459606465,2.043393410459704,0.15169432348134565,12,26,17.89388656616211,50,50,784,0.pixels,8,MNIST_ConvNet,exemplar,lrns,0.9678,0.92,0.004,0.004,1,False
18,2.803230054707073,5.233651520011542,0.007898888204116565,2.043393410459704,0.15169432348134565,12,26,17.89388656616211,50,50,784,0.pixels,8,MNIST_ConvNet,exemplar,lrns,0.9678,0.92,0.004,0.004,1,False
19,2.3784495348681043,5.149746818942319,0.0033890479710917557,2.043393410459704,0.15169432348134565,12,26,17.89388656616211,50,50,784,0.pixels,8,MNIST_ConvNet,exemplar,lrns,0.9678,0.92,0.004,0.004,1,False
20,2.768468036434584,5.135210551470897,0.004612913554723484,2.043393410459704,0.15169432348134565,12,26,17.89388656616211,50,50,784,0.pixels,8,MNIST_ConvNet,exemplar,lrns,0.9678,0.92,0.004,0.004,1,False
21,2.0879548306204962,4.7225184794714545,0.004776332267877558,2.043393410459704,0.15169432348134565,12,26,17.89388656616211,50,50,784,0.pixels,8,MNIST_ConvNet,exemplar,lrns,0.9678,0.92,0.004,0.004,1,False
22,1.8263615724227718,4.904416656856125,0.005364690863591035,2.043393410459704,0.15169432348134565,12,26,17.89388656616211,50,50,784,0.pixels,8,MNIST_ConvNet,exemplar,lrns,0.9678,0.92,0.004,0.004,1,False
23,2.4597099296678557,4.589027383030902,0.004861444854887677,2.043393410459704,0.15169432348134565,12,26,17.89388656616211,50,50,784,0.pixels,8,MNIST_ConvNet,exemplar,lrns,0.9678,0.92,0.004,0.004,1,False
24,3.6724297692802708,5.282486577776633,0.009773077544057988,2.043393410459704,0.15169432348134565,12,26,17.89388656616211,50,50,784,0.pixels,8,MNIST_ConvNet,exemplar,lrns,0.9678,0.92,0.004,0.004,1,False
25,1.475904072172167,5.139955426818642,0.009809063469629965,2.043393410459704,0.15169432348134565,12,26,17.89388656616211,50,50,784,0.pixels,8,MNIST_ConvNet,exemplar,lrns,0.9678,0.92,0.004,0.004,1,False
26,1.9574882212517417,4.546224901811933,0.0031822276393549697,2.043393410459704,0.15169432348134565,12,26,17.89388656616211,50,50,784,0.pixels,8,MNIST_ConvNet,exemplar,lrns,0.9678,0.92,0.004,0.004,1,False
27,2.6645028915172717,4.912144068220476,0.0045604975368580426,2.043393410459704,0.15169432348134565,12,26,17.89388656616211,50,50,784,0.pixels,8,MNIST_ConvNet,exemplar,lrns,0.9678,0.92,0.004,0.004,1,False
28,1.5522679982234375,4.859795457649989,0.006957714611318675,2.043393410459704,0.15169432348134565,12,26,17.89388656616211,50,50,784,0.pixels,8,MNIST_ConvNet,exemplar,lrns,0.9678,0.92,0.004,0.004,1,False
29,2.6856088251405144,5.1841044803057805,0.0036930611260082543,2.043393410459704,0.15169432348134565,12,26,17.89388656616211,50,50,784,0.pixels,8,MNIST_ConvNet,exemplar,lrns,0.9678,0.92,0.004,0.004,1,False
30,2.4229717449595083,5.089582281019517,0.007063142390338752,2.043393410459704,0.15169432348134565,12,26,17.89388656616211,50,50,784,0.pixels,8,MNIST_ConvNet,exemplar,lrns,0.9678,0.92,0.004,0.004,1,False
