,cap,dim,rad,mean_cap,center_corr,K,EVD90,PR,P,M,N,layer,seed,model,manifold_type,clean_accuracy,adv_accuracy,eps,eps_step,max_iter,random
0,1.3181138743677754,5.017552523873882,0.07361471844457633,1.6478864930029855,0.14059123136559312,11,28,19.175291061401367,50,50,784,0.pixels,0,MNIST_ConvNet,exemplar,0.9749,0.8964,0.03137254901960784,0.03137254901960784,1,False
1,1.6633172024550447,4.718783904502493,0.032203304178211226,1.6478864930029855,0.14059123136559312,11,28,19.175291061401367,50,50,784,0.pixels,0,MNIST_ConvNet,exemplar,0.9749,0.8964,0.03137254901960784,0.03137254901960784,1,False
2,1.8864296534242975,4.946312156806678,0.03201011179871941,1.6478864930029855,0.14059123136559312,11,28,19.175291061401367,50,50,784,0.pixels,0,MNIST_ConvNet,exemplar,0.9749,0.8964,0.03137254901960784,0.03137254901960784,1,False
3,1.7649503151078565,5.019537300128788,0.043874907182887016,1.6478864930029855,0.14059123136559312,11,28,19.175291061401367,50,50,784,0.pixels,0,MNIST_ConvNet,exemplar,0.9749,0.8964,0.03137254901960784,0.03137254901960784,1,False
4,1.4474419519139334,4.823791655735829,0.025741645698276427,1.6478864930029855,0.14059123136559312,11,28,19.175291061401367,50,50,784,0.pixels,0,MNIST_ConvNet,exemplar,0.9749,0.8964,0.03137254901960784,0.03137254901960784,1,False
5,1.2525002818017128,4.393916094208123,0.04442756349481829,1.6478864930029855,0.14059123136559312,11,28,19.175291061401367,50,50,784,0.pixels,0,MNIST_ConvNet,exemplar,0.9749,0.8964,0.03137254901960784,0.03137254901960784,1,False
6,1.5887553005849588,4.624655291251641,0.04930290352482952,1.6478864930029855,0.14059123136559312,11,28,19.175291061401367,50,50,784,0.pixels,0,MNIST_ConvNet,exemplar,0.9749,0.8964,0.03137254901960784,0.03137254901960784,1,False
7,1.373944804624748,4.965383024663395,0.028911963712047534,1.6478864930029855,0.14059123136559312,11,28,19.175291061401367,50,50,784,0.pixels,0,MNIST_ConvNet,exemplar,0.9749,0.8964,0.03137254901960784,0.03137254901960784,1,False
8,1.4355605468508235,4.720559856889707,0.053629781825035194,1.6478864930029855,0.14059123136559312,11,28,19.175291061401367,50,50,784,0.pixels,0,MNIST_ConvNet,exemplar,0.9749,0.8964,0.03137254901960784,0.03137254901960784,1,False
9,1.6391434880665743,5.19458970089253,0.024148313344553984,1.6478864930029855,0.14059123136559312,11,28,19.175291061401367,50,50,784,0.pixels,0,MNIST_ConvNet,exemplar,0.9749,0.8964,0.03137254901960784,0.03137254901960784,1,False
10,1.8842804025247664,4.369054394884863,0.03387949901495872,1.6478864930029855,0.14059123136559312,11,28,19.175291061401367,50,50,784,0.pixels,0,MNIST_ConvNet,exemplar,0.9749,0.8964,0.03137254901960784,0.03137254901960784,1,False
11,1.2830588534244285,5.1018245308072085,0.03317796413797739,1.6478864930029855,0.14059123136559312,11,28,19.175291061401367,50,50,784,0.pixels,0,MNIST_ConvNet,exemplar,0.9749,0.8964,0.03137254901960784,0.03137254901960784,1,False
12,2.623275680006874,4.6534534612747755,0.040295741579658345,1.6478864930029855,0.14059123136559312,11,28,19.175291061401367,50,50,784,0.pixels,0,MNIST_ConvNet,exemplar,0.9749,0.8964,0.03137254901960784,0.03137254901960784,1,False
13,2.096282435025847,4.415552756338595,0.0467400673315782,1.6478864930029855,0.14059123136559312,11,28,19.175291061401367,50,50,784,0.pixels,0,MNIST_ConvNet,exemplar,0.9749,0.8964,0.03137254901960784,0.03137254901960784,1,False
14,2.347187934494497,4.319418326900286,0.028386028724202438,1.6478864930029855,0.14059123136559312,11,28,19.175291061401367,50,50,784,0.pixels,0,MNIST_ConvNet,exemplar,0.9749,0.8964,0.03137254901960784,0.03137254901960784,1,False
15,1.2965015605698982,4.847264466652048,0.09169342342363002,1.6478864930029855,0.14059123136559312,11,28,19.175291061401367,50,50,784,0.pixels,0,MNIST_ConvNet,exemplar,0.9749,0.8964,0.03137254901960784,0.03137254901960784,1,False
16,1.5865861132189119,4.828710661516468,0.03438760835205426,1.6478864930029855,0.14059123136559312,11,28,19.175291061401367,50,50,784,0.pixels,0,MNIST_ConvNet,exemplar,0.9749,0.8964,0.03137254901960784,0.03137254901960784,1,False
17,1.6948794684531667,4.549453838070125,0.0580594219448341,1.6478864930029855,0.14059123136559312,11,28,19.175291061401367,50,50,784,0.pixels,0,MNIST_ConvNet,exemplar,0.9749,0.8964,0.03137254901960784,0.03137254901960784,1,False
18,1.518046103869875,5.016292042524301,0.04523142708499085,1.6478864930029855,0.14059123136559312,11,28,19.175291061401367,50,50,784,0.pixels,0,MNIST_ConvNet,exemplar,0.9749,0.8964,0.03137254901960784,0.03137254901960784,1,False
19,1.820186822725507,4.977011952449555,0.031008763953936973,1.6478864930029855,0.14059123136559312,11,28,19.175291061401367,50,50,784,0.pixels,0,MNIST_ConvNet,exemplar,0.9749,0.8964,0.03137254901960784,0.03137254901960784,1,False
20,1.7536383298674845,4.4050569142237785,0.04192862928993077,1.6478864930029855,0.14059123136559312,11,28,19.175291061401367,50,50,784,0.pixels,0,MNIST_ConvNet,exemplar,0.9749,0.8964,0.03137254901960784,0.03137254901960784,1,False
21,1.4747650022774301,5.143771700924585,0.03839819436228011,1.6478864930029855,0.14059123136559312,11,28,19.175291061401367,50,50,784,0.pixels,0,MNIST_ConvNet,exemplar,0.9749,0.8964,0.03137254901960784,0.03137254901960784,1,False
