,cap,dim,rad,mean_cap,center_corr,K,EVD90,PR,P,M,N,layer,seed,model,manifold_type,norm_method,clean_accuracy,adv_accuracy,eps,eps_step,max_iter,random
0,1.217139156406824,5.229795110099906,0.15192591084100826,1.41865667482241,0.14768350406568878,11,26,17.42038345336914,50,50,784,0.pixels,10,MNIST_ConvNet,exemplar,in,0.9834,0.8684,0.05,0.05,1,False
1,1.3090838016210893,4.7164687368487845,0.05689034543601354,1.41865667482241,0.14768350406568878,11,26,17.42038345336914,50,50,784,0.pixels,10,MNIST_ConvNet,exemplar,in,0.9834,0.8684,0.05,0.05,1,False
2,1.1118410299964676,5.5317612025914915,0.2263483638682831,1.41865667482241,0.14768350406568878,11,26,17.42038345336914,50,50,784,0.pixels,10,MNIST_ConvNet,exemplar,in,0.9834,0.8684,0.05,0.05,1,False
3,1.89973957896234,4.6992229248469695,0.06453521080177989,1.41865667482241,0.14768350406568878,11,26,17.42038345336914,50,50,784,0.pixels,10,MNIST_ConvNet,exemplar,in,0.9834,0.8684,0.05,0.05,1,False
4,2.397391356240527,4.749253230554048,0.04727609646114603,1.41865667482241,0.14768350406568878,11,26,17.42038345336914,50,50,784,0.pixels,10,MNIST_ConvNet,exemplar,in,0.9834,0.8684,0.05,0.05,1,False
5,1.679329373249304,4.998069159237806,0.13180327453788565,1.41865667482241,0.14768350406568878,11,26,17.42038345336914,50,50,784,0.pixels,10,MNIST_ConvNet,exemplar,in,0.9834,0.8684,0.05,0.05,1,False
6,1.4886200593824812,5.321802168238372,0.07667937742505733,1.41865667482241,0.14768350406568878,11,26,17.42038345336914,50,50,784,0.pixels,10,MNIST_ConvNet,exemplar,in,0.9834,0.8684,0.05,0.05,1,False
7,1.8390601634723622,4.982408733458554,0.056927339622421996,1.41865667482241,0.14768350406568878,11,26,17.42038345336914,50,50,784,0.pixels,10,MNIST_ConvNet,exemplar,in,0.9834,0.8684,0.05,0.05,1,False
8,1.674512371053087,4.984767948560754,0.0762101448227652,1.41865667482241,0.14768350406568878,11,26,17.42038345336914,50,50,784,0.pixels,10,MNIST_ConvNet,exemplar,in,0.9834,0.8684,0.05,0.05,1,False
9,1.8711513324123585,5.07603249198826,0.05849990928537571,1.41865667482241,0.14768350406568878,11,26,17.42038345336914,50,50,784,0.pixels,10,MNIST_ConvNet,exemplar,in,0.9834,0.8684,0.05,0.05,1,False
