,cap,dim,rad,label,mean_cap,EVD90,PR,P,M,N,layer,seed,model,manifold_type,norm_method,clean_accuracy,adv_accuracy,eps,eps_step,max_iter,random
0,1.008323743714293,5.162910577929073,0.22509110951980071,7.0,0.8752672374208972,0,1.1444448232650757,2,50,784,0.pixels,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
1,0.7732328797355316,5.544881859151098,0.2997645349690495,1.0,0.8752672374208972,0,1.1444448232650757,2,50,784,0.pixels,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
0,1.0163945024358187,4.5934373765311465,0.1945860699264267,7.0,0.953948706853485,0,1.1136307298093955,2,50,2000,1.conv1,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
1,0.8987319281943679,4.731523112066497,0.2979895612678042,1.0,0.953948706853485,0,1.1136307298093955,2,50,2000,1.conv1,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
0,1.0163945024358187,4.5934373765311465,0.1945860699264267,7.0,0.953948706853485,0,1.1136307298093955,2,50,2000,2.norm,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
1,0.8987319281943679,4.731523112066497,0.2979895612678042,1.0,0.953948706853485,0,1.1136307298093955,2,50,2000,2.norm,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
0,0.8708434425757764,3.917249839006972,0.22711867187844284,7.0,0.896391676199277,0,1.1040959358215332,2,50,2000,3.relu,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
1,0.923484251336531,4.18849678425136,0.29104381709500204,1.0,0.896391676199277,0,1.1040959358215332,2,50,2000,3.relu,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
0,1.2513216309434452,4.254306550560505,0.17504051272020774,7.0,1.1288293818661805,0,1.090957760810852,2,50,2000,4.conv2,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
1,1.0281804862478,4.1946892377129075,0.299473611861563,1.0,1.1288293818661805,0,1.090957760810852,2,50,2000,4.conv2,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
0,1.0664536943263152,4.274856779547343,0.17630375475166465,7.0,0.910253509417183,0,1.090957760810852,2,50,2000,5.norm,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
1,0.7939640436085438,4.386240569181526,0.29016159337946573,1.0,0.910253509417183,0,1.090957760810852,2,50,2000,5.norm,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
0,0.9676558538094329,3.8162130403643366,0.22528753435887647,7.0,0.9820050377391187,0,1.1040959358215332,2,50,2000,6.relu,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
1,0.996786189861105,4.301840137577384,0.29272289860584444,1.0,0.9820050377391187,0,1.1040959358215332,2,50,2000,6.relu,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
0,1.8441426375312282,2.870993467300668,0.0931504273207608,7.0,1.5675429972768207,0,1.0186960697174072,2,50,10,7.linear,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
1,1.363094850195598,2.399512662228368,0.21310779402550561,1.0,1.5675429972768207,0,1.0186960697174072,2,50,10,7.linear,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
